pos,player_name,seed,tag,country
1,"FRITZ, Taylor",1,,USA
2,"VACHEROT, Valentin",,WC,MON
3,"KORDA, Sebastian",,,USA
4,"HUMBERT, Ugo",,,FRA
5,"BAEZ, Sebastian",,,ARG
6,"OPELKA, Reilly",,Q,USA
8,"LEHECKA, Jiri",6,,CZE
9,"RUUD, Casper",4,,NOR
10,"HALYS, Quentin",,LL,FRA
11,"KECMANOVIC, Miomir",,,SRB
12,"WAWRINKA, Stan",,WC,SUI
13,"BROOKSBY, Jenson",,PR,USA
14,"MULLER, Alexandre",,,FRA
15,"SONEGO, Lorenzo",,,ITA
16,"DAVIDOVICH FOKINA, Alejandro",8,,ESP
17,"MENSIK, Jakub",7,,CZE
18,"BERNET, Henry",,WC,SUI
19,"MPETSHI PERRICARD, Giovanni",,,FRA
20,"FONSECA, Joao",,,BRA
21,"COLLIGNON, Raphael",,,BEL
22,"RINDERKNECH, Arthur",,,FRA
23,"GIRON, Marcos",,,USA
24,"SHAPOVALOV, Denis",9,,CAN
25,"AUGER ALIASSIME, Felix",5,,CAN
26,"DIALLO, Gabriel",,,CAN
27,"GOFFIN, David",,LL,BEL
28,"CILIC, Marin",,Q,CRO
29,"BERTOLA, Remy",,Q,SUI
30,"MUNAR, Jaume",,,ESP
31,"MAJCHRZAK, Kamil",,Q,POL
32,"SHELTON, Ben",2,,USA
