pos,player_name,seed,tag,country
1,"MUSETTI, Lorenzo",1,,ITA
2,,,BYE,
3,"HANFMANN, Yannick",,Q,GER
4,"ARNALDI, Matteo",,,ITA
5,"HALYS, Quentin",,,FRA
6,"BASILASHVILI, Nikoloz",,Q,GEO
7,"RUUSUVUORI, Emil",,PR,FIN
8,"MPETSHI PERRICARD, Giovanni",5,,FRA
9,"LEHECKA, Jiri",3,,CZE
10,,,BYE,
11,"ALTMAIER, Daniel",,,GER
12,"BAILLY, Gilles Arnaud",,Q,BEL
13,"OPELKA, Reilly",,,USA
14,"BONZI, Benjamin",,,FRA
15,"ROYER, Valentin",,LL,FRA
16,"BAEZ, Sebastian",6,,ARG
17,"BERGS, Zizou",8,,BEL
18,"COLLIGNON, Raphael",,WC,BEL
19,"COMESANA, Francisco",,,ARG
20,"GOFFIN, David",,WC,BEL
21,"GIRON, Marcos",,,USA
23,,,BYE,
22,"BELLUCCI, Mattia",,,ITA
24,"DAVIDOVICH FOKINA, Alejandro",4,,ESP
25,"FONSECA, Joao",7,,BRA
27,"SPIZZIRRI, Eliot",,Q,USA
28,"MARTINEZ, Pedro",,,ESP
29,"CINA, Federico",,WC,ITA
30,"DZUMHUR, Damir",,,BIH
31,,,BYE,
32,"AUGER-ALIASSIME, Felix",2,,CAN
