pos,player_name,seed,tag,country
1,"ALCARAZ, Carlos",1,,ESP
2,"WALTON, Adam",,WC,AUS
3,"HANFMANN, Y.",,,
4,"SVAJDA, Zachary",,,
5,"ZHENG, Michael",,,
6,"KORDA, Sebastian",,Q,USA
7,"SCHOOLKATE, Tristan",,,
8,"MOUTET, Corentin",,,FRA
9,"PAUL, Tommy",4,,USA
10,"KOVACEVIC, Aleksandar",,LL,USA
11,"TIRANTE, Thiago",,,
12,"VUKIC, Aleksandar",,Q,AUS
13,"BUDKOV KJAER, Nicolai",,,
14,"OPELKA, Reilly",,LL,USA
15,"MISOLIC, Filip",,,
16,"DAVIDOVICH FOKINA, Alejandro",15,,ESP
17,"BUBLIK, Alexander",13,,KAZ
18,"BROOKSBY, Jenson",,,USA
19,"UGO CARABELLI, Camilo",,,ARG
20,"FUCSOVICS, Marton",,,HUN
21,"KECMANOVIC, Miomir",,,SRB
22,"ETCHEVERRY, Tomas Martin",,Q,ARG
23,"FERY, Arthur",,,
24,"COBOLLI, Flavio",,,ITA
25,"TIAFOE, Frances",,,USA
26,"KUBLER, Jason",,,
27,"KYPSON, Patrick",,,
28,"COMESANA, Francisco",,Q,ARG
29,"NAVONE, Mariano",,,ARG
30,"MEDJEDOVIC, Hamad",,,SRB
31,"BERRETTINI, Matteo",,,
32,"DE MINAUR, Alex",6,,AUS
33,"ZVEREV, Alexander",3,,GER
34,"DIALLO, Gabriel",,,CAN
35,"POPYRIN, Alexei",,,AUS
36,"MULLER, Alexandre",,,FRA
37,"NAVA, Emilio",,,USA
38,"JACQUET, Kyrian",,,
39,"BONZI, Benjamin",,,
40,"NORRIE, Cameron",,,GBR
41,"CERUNDOLO, Francisco",,,ARG
42,"ZHANG, Zhizhen",,,
43,"DRAXL, Liam",,,
44,"DZUMHUR, Damir",,Q,BIH
45,"CAZAUX, Arthur",,WC,FRA
46,"FARIA, Jaime",,,
47,"ARNALDI, Matteo",,,
48,"RUBLEV, Andrey",12,,
49,"MEDVEDEV, Daniil",11,,
50,"DE JONG, Jesper",,,
51,"HALYS, Quentin",,Q,FRA
52,"TABILO, Alejandro",,,CHI
53,"MAJCHRZAK, Kamil",,LL,POL
54,"FEARNLEY, Jacob",,Q,GBR
55,"MAROZSAN, Fabian",,,HUN
56,"RINDERKNECH, Arthur",,WC,FRA
57,"TIEN, Learner",,,USA
58,"GIRON, Marcos",,,USA
59,"YMER, Elias",,,
60,"SHEVCHENKO, Andrei",,,
61,"CERUNDOLO, Juan Manuel",,,
62,"THOMPSON, Jordan",,,
63,"BORGES, Nuno",,,POR
64,"AUGER ALIASSIME, Felix",9,,CAN
65,"MUSETTI, Lorenzo",7,,ITA
66,"COLLIGNON, Raphael",,Q,BEL
67,"SONEGO, Lorenzo",,,ITA
68,"TABERNER, Carlos",,,
69,"DIMITROV, Grigor",,,BUL
70,"MACHAC, Tomas",,,CZE
71,"MOCHIZUKI, Shintaro",,,
72,"TSITSIPAS, Stefanos",,,
73,"LEHECKA, Jiri",14,,CZE
74,"GEA, Arthur",,,
75,"DJERE, Laslo",,,
76,"WAWRINKA, Stan",,,
77,"KOPRIVA, V.",,,
78,"STRUFF, J.",,,
79,"ROYER, Valentin",,,FRA
80,"FRITZ, Taylor",4,,USA
81,"MENSIK, Jakub",3,,CZE
82,"CARRENO BUSTA, Pablo",,Q,ESP
83,"SAKAMOTO, Rei",,,
84,"JODAR, Rafael",,,
85,"HURKACZ, Hubert",,,
86,"BERGS, Zizou",,,BEL
87,"QUINN, Ethan",,Q,USA
88,"GRIEKSPOOR, Tallon",,,NED
89,"NAKASHIMA, Brandon",,,USA
90,"VAN DE ZANDSCHULP, B.",,,
91,"SHANG, J.",,,
92,"BAUTISTA AGUT, Roberto",,,ESP
93,"ATMANE, Terence",,WC,FRA
94,"MAESTRELLI, F.",,,
95,"MARTINEZ, P.",,,
96,"DJOKOVIC, N.",,,
97,"SHELTON, Benjamin",5,,USA
98,"HUMBERT, Ugo",,,FRA
99,"SWEENY, D.",,,
100,"MONFILS, Gael",,,FRA
101,"MANNARINO, Adrian",,,FRA
102,"HIJIKATA, Rinky",,Q,AUS
103,"DAMM JR, M.",,,
104,"VACHEROT, Valentin",,WC,MON
105,"SHAPOVALOV, Denis",,,CAN
106,"BU, Y.",,,
107,"ALTMAIER, Daniel",,,GER
108,"CILIC, M.",,,
109,"MUNAR, Jaume",,,ESP
110,"SVRCINA, D.",,,
111,"BELLUCCI, M.",,,
112,"RUUD, Casper",8,,NOR
113,"KHACHANOV, Karen",10,,
114,"MICHELSEN, Alex",,,USA
115,"O'CONNELL, C.",,,
116,"BASAVAREDDY, N.",,,
117,"MPETSHI PERRICARD, Giovanni",,,FRA
118,"BAEZ, Sebastian",,,ARG
119,"GARIN, C.",,,
120,"DARDERI, Luciano",,,ITA
121,"FONSECA, Joao",,,BRA
122,"SPIZZIRRI, Eliot",,Q,USA
123,"NARDI, L.",,,
124,"WU, Y.",,,
125,"DUCKWORTH, James",,Q,AUS
126,"PRIZMIC, D.",,,
127,"GASTON, Hugo",,Q,FRA
128,"SINNER, Jannik",2,,ITA

