pos,player_name,seed,tag,country
1,"ALCARAZ, Carlos",1,,ESP
2,,,BYE,
3,"NORRIE, Cameron",,,GBR
4,"BAEZ, Sebastian",,,ARG
5,"MAROZSAN, Fabian",,,HUN
6,"RINDERKNECH, Arthur",,WC,FRA
7,"VACHEROT, Valentin",,WC,MON
8,"LEHECKA, Jiri",14,,CZE
9,"AUGER-ALIASSIME, Felix",9,,CAN
10,"COMESANA, Francisco",,Q,ARG
11,"MULLER, Alexandre",,,FRA
12,"NAKASHIMA, Brandon",,,USA
13,"ALTMAIER, Daniel",,,GER
14,"GIRON, Marcos",,,USA
16,"RUUD, Casper",8,,NOR
17,"FRITZ, Taylor",4,,USA
18,,,BYE,
19,"VUKIC, Aleksandar",,Q,AUS
20,"ATMANE, Terence",,WC,FRA
21,"MOUTET, Corentin",,,FRA
22,"OPELKA, Reilly",,LL,USA
23,"POPYRIN, Alexei",,,AUS
24,"BUBLIK, Alexander",13,,KAZ
25,"KHACHANOV, Karen",10,,
26,"QUINN, Ethan",,Q,USA
27,"SHAPOVALOV, Denis",,,CAN
28,"FONSECA, Joao",,,BRA
29,"GRIEKSPOOR, Tallon",,,NED
30,"DIALLO, Gabriel",,,CAN
32,"DE MINAUR, Alex",6,,AUS
33,"MUSETTI, Lorenzo",7,,ITA
34,,,BYE,
35,"SONEGO, Lorenzo",,,ITA
36,"KORDA, Sebastian",,Q,USA
37,"MPETSHI PERRICARD, …",,,FRA
38,"DIMITROV, Grigor",,,BUL
39,"MUNAR, Jaume",,,ESP
40,"MEDVEDEV, Daniil",11,,
41,"DAVIDOVICH FOKINA, Al…",15,,ESP
42,"HUMBERT, Ugo",,,FRA
43,"DARDERI, Luciano",,,ITA
44,"CAZAUX, Arthur",,WC,FRA
45,"ETCHEVERRY, Tomas Ma…",,Q,ARG
48,"ZVEREV, Alexander",3,,GER
49,"SHELTON, Ben",5,,USA
50,,,BYE,
51,"COBOLLI, Flavio",,,ITA
52,"MACHAC, Tomas",,,CZE
53,"TIEN, Learner",,,USA
54,"BORGES, Nuno",,,POR
55,"FEARNLEY, Jacob",,Q,GBR
56,"RUBLEV, Andrey",12,,
57,"CERUNDOLO, Francisco",,,ARG
58,"DZUMHUR, Damir",,Q,BIH
59,"KOVACEVIC, Aleksandar",,LL,USA
60,"KECMANOVIC, Miomir",,,SRB
61,"MICHELSEN, Alex",,,USA
62,"BERGS, Zizou",,,BEL
64,"SINNER, Jannik",2,,ITA
5,"Shelton, Ben 6 13 Bublik, Alexander 16",,,
6,"de Minaur, Alex 7 14 Lehecka, Jiri 17",,,
7,"Musetti, Lorenzo 8 15 Davidovich Fokina, Alej… 18",,,
8,"Ruud, Casper 11 16 Mensik, Jakub 19",,,
